days_numbered,date,avg_air_temp,avg_water_temp,max_air_temp_khu,min_air_temp_khu,morning_water_temp_khu,afternoon_water_temp_khu
384,1/19/19,19,16.95,26,12,16.1,17.8
385,1/20/19,18.65,17.45,25.7,11.6,16.3,18.6
386,1/21/19,19.55,17.6,27,12.1,16.6,18.6
387,1/22/19,20.4,18,28.8,12,17.2,18.8
388,1/23/19,20.85,18,29.2,12.5,17.3,18.7
389,1/24/19,21.5,19.45,30,13,20.2,18.7
390,1/25/19,22,19.45,30,14,20.2,18.7
391,1/26/19,23.1,20.65,31.2,15,20.2,21.1
392,1/27/19,22.75,20.7,28.5,17,20.3,21.1
393,1/28/19,21.75,20.45,25.5,18,20.1,20.8
394,1/29/19,20.9,19.95,25,16.8,19.2,20.7
395,1/30/19,16.95,18.95,24.5,9.4,17.2,20.7
396,1/31/19,18.75,18.5,26.5,11,17.1,19.9
397,2/1/19,20.5,20,28.5,12.5,17.2,22.8
398,2/2/19,20.35,20.1,28.2,12.5,17.4,22.8
399,2/3/19,20.65,20.7,28.3,13,17.8,23.6
400,2/4/19,20.75,21.85,28.5,13,20.5,23.2
401,2/5/19,19.75,21.6,27.5,12,20.1,23.1
402,2/6/19,19.55,21.55,27.7,11.4,19.8,23.3
403,2/7/19,21.6,21.85,30.2,13,20.2,23.5
404,2/8/19,22.5,22.75,30,15,21.2,24.3
405,2/9/19,23.35,22.65,28.5,18.2,21.2,24.1
406,2/10/19,21.3,22.85,26.6,16,21.2,24.5
407,2/11/19,19.4,22.45,26.5,12.3,21,23.9
408,2/12/19,20.2,22.6,28,12.4,21.2,24
409,2/13/19,21.75,22.95,29,14.5,21.4,24.5
410,2/14/19,22.5,23.05,30.5,14.5,21.8,24.3
411,2/15/19,22.75,23.35,30.5,15,22.4,24.3
412,2/16/19,21.75,22.85,26.5,17,21.8,23.9
413,2/17/19,21.5,23.6,28,15,22.4,24.8
414,2/18/19,21.5,23.8,28,15,22.7,24.9
415,2/19/19,23.25,23.75,31.5,15,22.7,24.8
416,2/20/19,25.65,24.85,31.5,19.8,23.9,25.8
417,2/21/19,26,25.55,32,20,24.1,27
418,2/22/19,26.4,25.55,32.3,20.5,24.1,27
419,2/23/19,27.75,26.65,33.5,22,26.2,27.1
420,2/24/19,25.75,26.8,31.5,20,26.5,27.1
421,2/25/19,19.7,26.1,22,17.4,25.5,26.7
422,2/26/19,19.9,23.45,22.2,17.6,23.8,23.1
423,2/27/19,21.5,21.8,27,16,21.2,22.4
424,2/28/19,22.1,22.65,26.2,18,22.2,23.1
425,3/1/19,22,25.1,26,18,24.4,25.8
426,3/2/19,20.6,24.1,26.8,14.4,23.1,25.1
427,3/3/19,21.25,24.55,28,14.5,23.7,25.4
428,3/4/19,23.25,24.5,28,18.5,24.1,24.9
429,3/5/19,25,25.65,28.5,21.5,25.1,26.2
430,3/6/19,24.45,26.5,28.4,20.5,25.6,27.4
431,3/7/19,25.1,26.4,29,21.2,25.7,27.1
432,3/8/19,23.8,26.5,29.4,18.2,25.5,27.5
433,3/9/19,24,26.25,30,18,25.2,27.3
434,3/10/19,25.5,26.8,31.5,19.5,25.5,28.1
435,3/11/19,27.6,27.45,33,22.2,26.2,28.7
436,3/12/19,28.5,28.15,33,24,27.3,29
437,3/13/19,28.4,29.45,33.2,23.6,28.2,30.7
438,3/14/19,30,29.95,34.5,25.5,28.7,31.2
439,3/15/19,29,30.05,34,24,28.8,31.3
440,3/16/19,28.25,29.45,33.5,23,28.1,30.8
441,3/17/19,28,29.65,34,22,28.1,31.2
442,3/18/19,24.75,27.75,29.5,20,27.4,28.1
