LAT,LON,YEAR,MO,DY,RH2M,day
22.78331,89.53331,2018,5,4,77.32,489
22.78331,89.53331,2018,5,5,80.03,490
22.78331,89.53331,2018,5,6,78.58,491
22.78331,89.53331,2018,5,7,79.17,492
22.78331,89.53331,2018,5,8,75.27,493
22.78331,89.53331,2018,5,9,78.1,494
22.78331,89.53331,2018,5,10,77.35,495
22.78331,89.53331,2018,5,11,81.36,496
22.78331,89.53331,2018,5,12,78.73,497
22.78331,89.53331,2018,5,13,83.07,498
22.78331,89.53331,2018,5,14,82.61,499
22.78331,89.53331,2018,5,15,78.86,500
22.78331,89.53331,2018,5,16,87.97,501
22.78331,89.53331,2018,5,17,81.97,502
22.78331,89.53331,2018,5,18,83.24,503
22.78331,89.53331,2018,5,19,82.85,504
22.78331,89.53331,2018,5,20,81.26,505
22.78331,89.53331,2018,5,21,82.53,506
22.78331,89.53331,2018,5,22,82.62,507
22.78331,89.53331,2018,5,23,89.88,508
22.78331,89.53331,2018,5,24,88.6,509
22.78331,89.53331,2018,5,25,87.76,510
22.78331,89.53331,2018,5,26,88.49,511
22.78331,89.53331,2018,5,27,87.35,512
22.78331,89.53331,2018,5,28,84.97,513
22.78331,89.53331,2018,5,29,79.73,514
22.78331,89.53331,2018,5,30,77.46,515
22.78331,89.53331,2018,5,31,89.45,516
22.78331,89.53331,2018,6,1,91.85,517
22.78331,89.53331,2018,6,2,88.97,518
22.78331,89.53331,2018,6,3,87.57,519
22.78331,89.53331,2018,6,4,89.88,520
22.78331,89.53331,2018,6,5,86.3,521
22.78331,89.53331,2018,6,6,83.97,522
22.78331,89.53331,2018,6,7,83.95,523
22.78331,89.53331,2018,6,8,88.21,524
22.78331,89.53331,2018,6,9,84.77,525
22.78331,89.53331,2018,6,10,94.15,526
22.78331,89.53331,2018,6,11,94.01,527
22.78331,89.53331,2018,6,12,94.42,528
22.78331,89.53331,2018,6,13,91.57,529
22.78331,89.53331,2018,6,14,91.87,530
22.78331,89.53331,2018,6,15,90.26,531
22.78331,89.53331,2018,6,16,89.2,532
22.78331,89.53331,2018,6,17,85.01,533
22.78331,89.53331,2018,6,18,87.31,534
22.78331,89.53331,2018,6,19,89.41,535
22.78331,89.53331,2018,6,20,90.59,536
22.78331,89.53331,2018,6,21,91.04,537
22.78331,89.53331,2018,6,22,91.24,538
22.78331,89.53331,2018,6,23,91.54,539
22.78331,89.53331,2018,6,24,94.66,540
22.78331,89.53331,2018,6,25,92.45,541
22.78331,89.53331,2018,6,26,90.2,542
22.78331,89.53331,2018,6,27,91.57,543
22.78331,89.53331,2018,6,28,90.97,544
22.78331,89.53331,2018,6,29,89.01,545
22.78331,89.53331,2018,6,30,88.53,546
22.78331,89.53331,2018,7,1,90.14,547
22.78331,89.53331,2018,7,2,90.13,548
22.78331,89.53331,2018,7,3,92.43,549
22.78331,89.53331,2018,7,4,93.16,550
22.78331,89.53331,2018,7,5,86.87,551
22.78331,89.53331,2018,7,6,86.96,552
22.78331,89.53331,2018,7,7,88.36,553
22.78331,89.53331,2018,7,8,89.12,554
22.78331,89.53331,2018,7,9,88.13,555
22.78331,89.53331,2018,7,10,89.87,556
22.78331,89.53331,2018,7,11,89.1,557
22.78331,89.53331,2018,7,12,89.36,558
22.78331,89.53331,2018,7,13,90.7,559
22.78331,89.53331,2018,7,14,90.39,560
22.78331,89.53331,2018,7,15,89.81,561
22.78331,89.53331,2018,7,16,88.63,562
22.78331,89.53331,2018,7,17,88.25,563
22.78331,89.53331,2018,7,18,86.84,564
22.78331,89.53331,2018,7,19,84.07,565
22.78331,89.53331,2018,7,20,87.23,566
22.78331,89.53331,2018,7,21,91.08,567
22.78331,89.53331,2018,7,22,90.94,568
22.78331,89.53331,2018,7,23,90.22,569
22.78331,89.53331,2018,7,24,91.24,570
22.78331,89.53331,2018,7,25,94.47,571
22.78331,89.53331,2018,7,26,95.33,572
22.78331,89.53331,2018,7,27,93.1,573
22.78331,89.53331,2018,7,28,91.87,574
22.78331,89.53331,2018,7,29,91.99,575
22.78331,89.53331,2018,7,30,90.71,576
22.78331,89.53331,2018,7,31,90.21,577
22.78331,89.53331,2018,8,1,92.42,578
22.78331,89.53331,2018,8,2,90.12,579
22.78331,89.53331,2018,8,3,90.64,580
22.78331,89.53331,2018,8,4,87.46,581
22.78331,89.53331,2018,8,5,89.56,582
22.78331,89.53331,2018,8,6,92.91,583
22.78331,89.53331,2018,8,7,90.47,584
22.78331,89.53331,2018,8,8,89.05,585
22.78331,89.53331,2018,8,9,87.77,586
22.78331,89.53331,2018,8,10,85.73,587
22.78331,89.53331,2018,8,11,89.3,588
22.78331,89.53331,2018,8,12,86.83,589
22.78331,89.53331,2018,8,13,89.45,590
22.78331,89.53331,2018,8,14,90.76,591
22.78331,89.53331,2018,8,15,89.26,592
22.78331,89.53331,2018,8,16,88.23,593
22.78331,89.53331,2018,8,17,88.02,594
22.78331,89.53331,2018,8,18,87.73,595
22.78331,89.53331,2018,8,19,92.76,596
22.78331,89.53331,2018,8,20,90.81,597
22.78331,89.53331,2018,8,21,90.02,598
22.78331,89.53331,2018,8,22,87.67,599
22.78331,89.53331,2018,8,23,91.91,600
22.78331,89.53331,2018,8,24,92.8,601
22.78331,89.53331,2018,8,25,90.59,602
22.78331,89.53331,2018,8,26,88.45,603
22.78331,89.53331,2018,8,27,90.5,604
