YEAR,DOY,WS2M,RH2M,SRAD,air_min,air_max,SRAD_kj
2018,301,1.3,78.89,8.1,20.49,28.42,337.5
2018,302,1.47,88.03,6.64,21.38,26.7,276.6666667
2018,303,2.24,92.59,7.53,21.32,25.31,313.75
2018,304,1.14,85.29,15.22,21.39,27.62,634.1666667
2018,305,1.02,79.51,15.02,21.29,30.05,625.8333333
2018,306,0.71,79.63,13.59,21.69,29.87,566.25
2018,307,0.86,79.25,16.11,21.08,29.73,671.25
2018,308,1.05,79.15,16.29,20.84,30.22,678.75
2018,309,1.51,83.24,16.61,20.97,30.36,692.0833333
2018,310,1.25,80.4,14.5,21.76,30.17,604.1666667
2018,311,0.98,79.8,7.36,22.5,29.53,306.6666667
2018,312,1.25,75.73,16.13,19.54,29.09,672.0833333
2018,313,0.92,67.07,17.37,18.44,28.24,723.75
2018,314,0.81,63.98,17.11,17.97,28.22,712.9166667
2018,315,1.14,68.96,16.89,18.42,28.47,703.75
2018,316,1.14,69.31,16.59,17.19,28.26,691.25
2018,317,1,66.81,16.62,17.83,28.76,692.5
2018,318,0.78,64.05,15.96,17.78,28.9,665
2018,319,0.93,68.25,-99,18.92,29.65,-4125
2018,320,1.31,68.23,16.28,18.22,30.49,678.3333333
2018,321,1.46,70.17,16.18,17.89,29.48,674.1666667
2018,322,1.38,71.65,16.14,16.99,28.22,672.5
2018,323,1.24,67.87,16.35,15.77,28,681.25
2018,324,0.79,62.84,14.72,17.34,28.16,613.3333333
2018,325,1.08,66.78,15.28,16.98,28.27,636.6666667
2018,326,1.27,68.32,15.93,16.2,27.97,663.75
2018,327,1.16,70.86,15.74,17.05,27.47,655.8333333
2018,328,1.16,69.3,15.12,15.79,27.86,630
2018,329,1.04,69.65,15.77,16.88,27.95,657.0833333
2018,330,0.75,68.76,15.34,17.52,27.78,639.1666667
2018,331,1.08,73.62,15.24,16.81,27.83,635
2018,332,0.81,71.86,15.58,17.16,28.46,649.1666667
2018,333,0.65,65.36,15.36,17.79,28.6,640
2018,334,0.66,64.5,14.26,17.6,27.68,594.1666667
2018,335,0.85,61.8,14.24,16.89,27.68,593.3333333
2018,336,1.04,61.29,14.68,16.48,28.02,611.6666667
2018,337,1.32,64.76,14.08,15.44,27.37,586.6666667
2018,338,1.37,64.84,14.81,14.9,27.6,617.0833333
2018,339,1.52,66.05,14.66,13.77,27.17,610.8333333
2018,340,1.29,65.58,12.32,15.71,25.63,513.3333333
2018,341,1.46,63.12,14.83,13.05,27.05,617.9166667
2018,342,1.69,61.43,14.1,12.15,26.16,587.5
2018,343,1.43,62.98,14.85,11.28,26.45,618.75
2018,344,1.29,59.25,14.68,12.62,27.52,611.6666667
2018,345,1.17,62.01,14.5,13.72,28.11,604.1666667
2018,346,1.1,63.12,14.33,14.54,28.07,597.0833333
2018,347,1.24,61.19,14.37,14.4,28.17,598.75
2018,348,1.6,62.5,14,14.54,27.91,583.3333333
2018,349,1.77,56.94,9.21,14.4,26.79,383.75
2018,350,1.31,69.44,4.09,15.49,24.2,170.4166667
2018,351,2.15,82.85,5.3,17.32,23.16,220.8333333
2018,352,2.43,86.53,3.69,17.04,25.7,153.75
2018,353,2.35,73.85,12.18,14.36,24.99,507.5
2018,354,1.64,70,14.32,11.08,23.66,596.6666667
2018,355,1.43,66.68,14.61,10.12,23.99,608.75
2018,356,1.52,68.05,13.95,10.38,24.09,581.25
2018,357,1.59,68.41,14.79,10.48,24.72,616.25
2018,358,1.45,67.16,14.53,10.77,25.25,605.4166667
2018,359,1.39,55.51,14.74,10.17,24.8,614.1666667
2018,360,1.5,55.88,13.97,9.1,23.79,582.0833333
2018,361,1.61,53.09,14.72,8.44,23.51,613.3333333
2018,362,1.8,52.32,14.98,8.64,23.93,624.1666667
2018,363,1.57,53.88,15.13,6.9,23.01,630.4166667
2018,364,1.98,60.69,14.95,7.87,24.96,622.9166667
2018,365,1.41,63.71,14.88,8.96,26.29,620
2019,1,1.31,61.82,14.44,10.31,26.48,601.6666667
2019,2,1.39,60.06,14.51,11.05,26.14,604.5833333
2019,3,1.38,55.69,14.65,11.9,26.41,610.4166667
2019,4,1.61,55.89,14.36,8.9,24.66,598.3333333
2019,5,1.55,57.18,14.69,9.02,25.92,612.0833333
2019,6,0.99,53.01,14.67,11.54,27.29,611.25
2019,7,0.91,48.35,14.76,12.66,28.29,615
2019,8,1.61,54.96,14.7,11.68,27.58,612.5
2019,9,1.18,56.23,13.88,13.06,26.9,578.3333333
2019,10,1.49,55.99,14.65,11.68,25.73,610.4166667
2019,11,1.41,47.79,14.69,10.34,25.26,612.0833333
2019,12,1.35,52.31,14.99,9.98,25.91,624.5833333
2019,13,1.45,55.95,15.01,11.27,27.39,625.4166667
2019,14,1.49,53.86,13.76,10.87,26.8,573.3333333
2019,15,1.89,50.63,14.95,11.98,26.01,622.9166667
2019,16,1.55,45.23,15.62,9.51,25.99,650.8333333
2019,17,1.07,43.81,15.53,9.54,26.85,647.0833333
2019,18,1.03,44.17,14.99,10.01,26.67,624.5833333
2019,19,1.57,43.16,15.71,9.69,26.55,654.5833333
2019,20,1.35,46.62,15.31,11.06,26.29,637.9166667
2019,21,1.19,47.04,15.6,11.76,27.43,650
2019,22,0.92,46.11,16.02,13.74,28.99,667.5
2019,23,0.94,46.45,15.88,15.39,29.6,661.6666667
2019,24,1.17,48.18,15.89,14.29,30.4,662.0833333
2019,25,1.14,49.38,15.87,14.08,29.71,661.25
2019,26,1.21,47.78,15.95,14.15,30.77,664.5833333
2019,27,1.67,56.05,15.13,14.68,29.06,630.4166667
2019,28,1.96,53.19,8.84,15.94,28.86,368.3333333
2019,29,2.64,47.66,15.49,14.95,27.39,645.4166667
2019,30,1.74,35.62,17.46,9.08,26.11,727.5
2019,31,1.24,39.35,16.99,10.28,27.89,707.9166667
2019,32,0.92,38.14,16.99,12.11,29.81,707.9166667
2019,33,1.16,41.13,16.98,12.81,29.6,707.5
2019,34,1.45,37.47,17.13,13.67,29.85,713.75
2019,35,1.52,36.94,17.46,13.98,29.72,727.5
2019,36,1.44,33.9,17.55,13.28,30.01,731.25
2019,37,1.11,33.49,17.26,14.91,29.54,719.1666667
2019,38,1.17,41.98,17.21,15.55,31.45,717.0833333
2019,39,1.09,50.21,15.74,16.16,31.97,655.8333333
2019,40,2.02,53.44,16.78,17.17,31.29,699.1666667
