time,latitude,longitude,WS10M,RH2M,T2M,ALLSKY_SFC_SW_DWN
246,22.78331,89.53331,3.051032352,90.40301565,27.73877539,4.249152384
247,22.78331,89.53331,2.9704792,90.24582155,27.77742789,4.078872459
248,22.78331,89.53331,3.293237181,89.80192093,27.86478961,4.267129899
249,22.78331,89.53331,3.288266737,89.75237224,27.85646304,4.015500032
250,22.78331,89.53331,3.120954507,90.05749362,27.70120359,4.091917574
251,22.78331,89.53331,2.825224127,88.75092771,27.87864394,4.043001423
252,22.78331,89.53331,2.822681268,90.43613384,27.61688311,4.064819862
253,22.78331,89.53331,2.770486404,90.82702697,27.55435054,3.737664956
254,22.78331,89.53331,2.721913627,90.20622855,27.61192726,3.626032429
255,22.78331,89.53331,2.760143,89.12465561,27.74583976,4.152026017
256,22.78331,89.53331,2.700490175,89.40281728,27.71479673,3.913232647
257,22.78331,89.53331,2.915839259,90.4045846,27.40751949,3.716396149
258,22.78331,89.53331,2.643083695,89.28548778,27.65156103,4.308310243
259,22.78331,89.53331,2.630934948,89.70809759,27.58340974,4.269047142
260,22.78331,89.53331,2.549852793,88.84453833,27.67040759,4.143100339
261,22.78331,89.53331,2.709040764,89.4292466,27.67832912,4.067278572
262,22.78331,89.53331,2.681516169,89.96967151,27.49166043,4.030295084
263,22.78331,89.53331,2.88370393,90.54060529,27.32629156,3.510117579
264,22.78331,89.53331,2.931102808,90.69352676,27.32542318,3.451067133
265,22.78331,89.53331,2.88095473,89.52829485,27.42098724,3.494449603
266,22.78331,89.53331,2.874142439,90.0491533,27.29062186,3.706492267
267,22.78331,89.53331,2.619601131,90.16494188,27.37148038,3.695749038
268,22.78331,89.53331,2.343238595,89.26473941,27.32724872,4.143564671
269,22.78331,89.53331,1.883548476,87.41836228,27.54203748,4.44245548
270,22.78331,89.53331,1.827323166,87.3775945,27.51737958,4.39824804
271,22.78331,89.53331,1.904306206,86.7400509,27.46939933,4.523915495
272,22.78331,89.53331,2.05626883,87.75635966,27.37509227,4.444341872
273,22.78331,89.53331,2.074971355,87.18643629,27.44589098,4.388063753
274,22.78331,89.53331,1.916223378,86.63205004,27.52808205,4.404956011
275,22.78331,89.53331,1.762135558,85.88571611,27.72851817,4.7399158
276,22.78331,89.53331,1.851657892,87.35157193,27.47616704,4.290022917
277,22.78331,89.53331,1.952922334,86.9474849,27.33694933,4.321378376
278,22.78331,89.53331,2.100983534,87.23829727,27.33312781,4.022727811
279,22.78331,89.53331,1.989034412,87.56907637,27.23152422,3.791902301
280,22.78331,89.53331,2.145543578,87.44492217,27.16501283,3.59157814
281,22.78331,89.53331,2.386485128,88.4033962,27.07750701,3.341650207
282,22.78331,89.53331,2.395281847,87.46700939,26.86325805,4.024463874
283,22.78331,89.53331,1.710787257,84.28511312,27.11296369,4.490280974
284,22.78331,89.53331,1.630956574,83.65935656,27.15047613,4.72023078
285,22.78331,89.53331,1.944818286,83.88759943,26.94189453,4.49148763
286,22.78331,89.53331,2.218928037,85.6970999,26.6795051,4.436848961
287,22.78331,89.53331,2.176717022,86.21105039,26.46859429,4.43171266
288,22.78331,89.53331,1.946090921,84.32350781,26.65897989,4.361461709
289,22.78331,89.53331,1.829131255,83.7969256,26.73295634,4.585006647
290,22.78331,89.53331,1.80242786,83.15686403,26.40158883,4.632493449
291,22.78331,89.53331,2.052708263,85.60830925,26.08092624,3.879945697
292,22.78331,89.53331,2.266265013,84.54871575,26.18584437,4.525089297
293,22.78331,89.53331,2.271628601,82.91208117,26.03933193,4.62730863
294,22.78331,89.53331,2.234734268,81.803029,25.84856388,4.560391826
295,22.78331,89.53331,2.089447921,82.0852021,25.52842542,4.584518084
296,22.78331,89.53331,2.13591931,82.20057915,25.26497716,4.682519519
297,22.78331,89.53331,2.136730449,81.88529135,25.04223696,4.569273178
298,22.78331,89.53331,2.190607068,81.54946882,24.75771544,4.391959288
299,22.78331,89.53331,2.423459376,82.24244074,24.47958445,4.423572807
300,22.78331,89.53331,2.377318486,82.35758751,24.45574089,4.240534081
301,22.78331,89.53331,2.48238388,83.15886824,24.30499984,3.829301667
302,22.78331,89.53331,2.274697469,82.46153069,24.37066243,4.216426592
303,22.78331,89.53331,2.250460514,81.94029609,24.22783091,4.114062119
304,22.78331,89.53331,2.120454084,81.95649696,24.1555456,4.094357544
305,22.78331,89.53331,2.087064116,82.24079805,24.1316102,4.178532552
306,22.78331,89.53331,2.067335498,81.05947617,24.16177527,4.382946451
307,22.78331,89.53331,1.90319621,79.7063359,24.27440854,4.682914578
308,22.78331,89.53331,1.869554368,79.22008462,24.31581136,4.632599417
309,22.78331,89.53331,1.815394853,79.16287771,24.32512371,4.411403745
310,22.78331,89.53331,2.074294534,80.23739326,24.07544464,4.269649041
311,22.78331,89.53331,2.12842801,80.27529725,23.96587276,4.172420449
312,22.78331,89.53331,2.103927817,79.53413276,23.7203242,4.077178953
313,22.78331,89.53331,2.237937987,79.67591524,23.46499258,4.265991806
314,22.78331,89.53331,2.096172561,78.6065915,23.31472179,4.299243058
315,22.78331,89.53331,2.142096333,78.38802822,22.77287236,4.380920978
316,22.78331,89.53331,2.274870243,78.91266843,22.53401982,4.325254042
317,22.78331,89.53331,2.106797476,77.58518072,22.56692379,4.418959087
318,22.78331,89.53331,1.90107367,76.52506434,22.61215275,4.615392495
319,22.78331,89.53331,2.128261033,77.65643717,22.41632018,4.270311209
320,22.78331,89.53331,2.120815116,77.33584255,22.35377305,4.290716621
321,22.78331,89.53331,2.021838184,77.87259814,22.12704962,4.244172548
322,22.78331,89.53331,2.022205216,78.38939963,22.07523655,4.288999629
323,22.78331,89.53331,2.075769152,77.4302554,21.88756587,4.468508004
324,22.78331,89.53331,2.04248196,76.31851801,21.87402476,4.407847197
325,22.78331,89.53331,2.260073766,76.12480195,21.39308381,4.402125825
326,22.78331,89.53331,2.153722072,74.28708135,20.99538525,4.517296972
327,22.78331,89.53331,2.011732622,74.34544947,21.02440046,4.501962192
328,22.78331,89.53331,2.033986684,74.22990239,20.96384711,4.444144659
329,22.78331,89.53331,2.21149545,76.2096246,20.82122192,4.492900792
330,22.78331,89.53331,2.108466355,75.2416527,20.6850308,4.423203733
331,22.78331,89.53331,2.112834805,75.04371695,20.61987667,4.407276453
332,22.78331,89.53331,2.084663715,74.21078237,20.62339088,4.328669688
333,22.78331,89.53331,2.070071976,74.19151489,20.58284302,4.207352763
334,22.78331,89.53331,2.083646811,75.06114294,20.47347636,4.314660205
335,22.78331,89.53331,2.049536836,73.04422333,20.39072061,4.312366506
336,22.78331,89.53331,1.993900216,72.46044268,20.25576827,4.312993758
337,22.78331,89.53331,2.112746304,73.20762138,19.90267126,4.289951028
338,22.78331,89.53331,2.25489713,74.90955807,19.75799476,4.327524498
339,22.78331,89.53331,2.241445226,74.40780824,19.7628098,4.257068198
340,22.78331,89.53331,2.220584839,74.17998195,19.54556552,4.140403279
341,22.78331,89.53331,2.142290589,73.50045404,19.64185665,4.262307916
342,22.78331,89.53331,1.989016901,73.30312945,19.65026192,4.023669093
343,22.78331,89.53331,2.031576196,74.14313633,19.764207,3.925554375
344,22.78331,89.53331,2.173978011,73.23629441,19.83532376,4.105402524
345,22.78331,89.53331,2.162367693,72.93110563,19.67422893,4.109109627
346,22.78331,89.53331,2.182024404,73.19757767,19.62018351,4.083582133
347,22.78331,89.53331,2.217292929,73.52046008,19.56347644,4.106421142
348,22.78331,89.53331,2.328528492,72.06938893,19.03450377,4.050610129
349,22.78331,89.53331,2.399707511,72.84213472,18.66037176,3.944330112
350,22.78331,89.53331,2.414228133,72.8935118,18.57835383,3.93791434
351,22.78331,89.53331,2.560710351,72.64971886,18.34931658,3.854571801
352,22.78331,89.53331,2.463318581,74.44239195,18.33760171,3.653698237
353,22.78331,89.53331,2.338615272,73.18633789,18.35141674,3.95373564
354,22.78331,89.53331,2.194052465,71.13390505,18.30616867,4.007755737
355,22.78331,89.53331,2.084155655,69.55851316,18.19843844,3.959028941
356,22.78331,89.53331,2.217724418,69.16408354,18.04842256,3.864354958
357,22.78331,89.53331,2.342088728,70.45918982,17.91024275,4.008432978
358,22.78331,89.53331,2.329542565,69.25701537,17.87775818,3.94637631
359,22.78331,89.53331,2.408210806,68.36652104,17.66901492,4.077740365
360,22.78331,89.53331,2.416978863,66.95827766,17.39338819,4.096104617
361,22.78331,89.53331,2.326612568,66.93984011,17.11381044,4.009281796
362,22.78331,89.53331,2.456448247,66.81765346,16.86093967,3.928185891
363,22.78331,89.53331,2.468849467,67.53258535,16.80437251,4.056194728
364,22.78331,89.53331,2.521894112,68.1871092,17.06287942,4.083964119
365,22.78331,89.53331,2.489419687,67.02569369,17.19303553,4.054226327
366,22.78331,89.53331,1.974385009,62.64653002,17.45213374,4.358046484
